Tester,Site type,Name of Sampling Location,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,SARS-CoV-2 Detected,Sample collection date,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated,Week Start Date,Week End Date,Group,Subgroup,Estimated population,Percent of the population,Week case rate,Cumulative cases,Cumulative case rate,Deaths during this week,Week death rate,Cumulative deaths,Cumulative death rate,Confirmed deaths,Confirmed cases,County,Population,Cases during this week_y,Cumulative confirmed cases,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Weekly case rate,Weekly testing rate
BioBot,Municipal,South Hadley Div. of WPC,806965.090294668,5,Detected,2023-11-22,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,487217.6150376823,7,Detected,2023-11-28,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Upper Blackstone Clean Water,612113.7533297443,4,Detected,2023-11-15,copies/L,Worcester,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody/Salem Pump,2881607.4754708437,4,Detected,2024-02-04,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,415613.2571446852,7,Detected,2023-10-18,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Whitman,1049243.0983537373,4,Detected,2023-08-31,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,1075940.2865902376,4,Detected,2023-08-22,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Leominster Headworks,688339.620942812,2,Detected,2023-08-17,copies/L,Leominster,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Hull WWTF,908297.0898142387,3,Detected,2023-09-07,copies/L,Hull,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Greater Lawrence Sanitary District,333265.07834999997,4,Detected,2023-07-12,copies/L,North Andover,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,S.Deerfield WWTP,0.0,3,Not Detected,2023-07-05,copies/L,Deerfield,MA,Franklin,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Lynn WWTF,303876.53949999996,3,Detected,2023-07-28,copies/L,Lynn,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,1025447.6324525512,7,Detected,2024-01-18,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,552969.7749915804,7,Detected,2023-09-24,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,2421429.064242979,7,Detected,2024-01-04,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,800170.0136532949,4,Detected,2023-12-21,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
